cid;title;author;genre;year;source
1941;A Chinela Turca;Machado de Assis;Short-Story;1875;pportal
2124;A Condessa Vésper;Aluísio Azevedo;Fiction;1882;pportal
1758;A Filha de Maria Angu;Artur Azevedo;Classic;1876;pportal
1903;A Igreja do Diabo;Machado de Assis;Short-Story;1883;pportal
2023;A Moreninha;Joaquim Manuel de Macedo;Fiction;1844;pportal
2057;A Mortalha de Alzira;Aluísio Azevedo;Classic;1892;pportal
16519;A Morte do Lidador;Alexandre Herculano;Fiction;1846;pportal
1881;A Mulher de Preto;Machado de Assis;Classic;1868;pportal
2039;A Mão e a Luva;Machado de Assis;Fiction;1874;pportal
16512;A Normalista;Adolfo Caminha;Fiction;1893;pportal
1894;A Parasita Azul;Machado de Assis;Fiction;1872;pportal
2096;A Pata da Gazela;José de Alencar;Fiction;1870;pportal
17357;A Pianista;Machado de Assis;Classic;1866;pportal
1915;A Segunda Vida;Machado de Assis;Classic;1884;pportal
1919;A Senhora do Galvão;Machado de Assis;Classic;1884;pportal
1947;A Sereníssima República;Machado de Assis;Fiction;1882;pportal
17358;A Vida Eterna;Machado de Assis;Fiction;1870;pportal
7398;A Vitória e a Piedade;Alexandre Herculano;Classic;1871;pportal
16674;A Viuvinha;José de Alencar;Fiction;1857;pportal
43203;A campanha da Cordilheira: diário do exército, volume 1;Visconde de Taunay;Romance;1876;pportal
17896;A idéia do Ezequiel Maia;Machado de Assis;Fiction;1883;pportal
17354;A melhor das noivas;Machado de Assis;Fiction;1877;pportal
28806;A morgadinha dos canaviais: crônicas da aldeia;Júlio Dinis;Classic;1868;pportal
17355;A mulher Pálida;Machado de Assis;Fiction;1881;pportal
17353;A mágoa do Infeliz Cosme;Machado de Assis;Fiction;1875;pportal
84540;A uma platéia;Casimiro de Abreu;Classic;1860;pportal
7553;A viúva Simões;Júlia Lopes de Almeida;Romance;1897;pportal
17887;A viúva Sobral;Machado de Assis;Fiction;1884;pportal
17941;A última receita;Machado de Assis;Fiction;1875;pportal
16925;Adão e Eva;Machado de Assis;Fiction;1885;pportal
17359;Almas Agradecidas;Machado de Assis;Fiction;1863;pportal
16586;Amor de Perdição;Camilo Castelo Branco;Classic;1861;pportal
88534;Amor de Salvação;Camilo Castelo Branco;Fiction;1864;pportal
1913;Anedota Pecuniária;Machado de Assis;Short-Story;1883;pportal
1961;Anedota do Cabriolet;Machado de Assis;Classic;1884;pportal
17370;Antes da Missa;Machado de Assis;Classic;1878;pportal
17360;Antes da Rocha Tapéia;Machado de Assis;Fiction;1887;pportal
17371;Antes que Cases;Machado de Assis;Fiction;1875;pportal
43230;Apologos: contos para criança;Coelho Neto;Romance;1898;pportal
16520;Arras por Foro de Espanha (1371-1372);Alexandre Herculano;Classic;1843;pportal
1920;As Academias de Sião;Machado de Assis;Short-Story;1884;pportal
1895;As Bodas de Luís Duarte;Machado de Assis;Fiction;1873;pportal
16683;As Pupilas do Senhor Reitor;Júlio Dinis;Classic;1867;pportal
7374;Assombramento;Afonso Arinos;Fiction;1898;pportal
17375;Astúcias de Marido;Machado de Assis;Fiction;1886;pportal
1897;Aurora sem Dia;Machado de Assis;Classic;1870;pportal
17376;Ayres e Vergueiro;Machado de Assis;Fiction;1871;pportal
43336;Balladilhas;Coelho Neto;Romance;1898;pportal
16513;Bom Crioulo;Adolfo Caminha;Fiction;1895;pportal
1875;Bons Dias;Machado de Assis;Classic;1889;pportal
17377;Brincar com fogo;Machado de Assis;Fiction;1875;pportal
17439;As jóias da Coroa;Raul Pompéia;Fiction;1882;pportal
1906;Cantiga de Esponsais;Machado de Assis;Short-Story;1883;pportal
17890;Cantiga velha;Machado de Assis;Fiction;1883;pportal
1912;Capítulo dos Chapéus;Machado de Assis;Short-Story;1871;pportal
14019;Cartas Familiares e Bilhetes de Paris;José Maria Eça de Queirós;Fiction;1869;pportal
1876;Casa Velha;Machado de Assis;Classic;1863;pportal
16529;Casa de Pensão;Aluísio Azevedo;Fiction;1884;pportal
2040;Casa velha;Machado de Assis;Classic;1863;pportal
17903;Casa, não casa;Machado de Assis;Fiction;1875;pportal
17909;Casada e viúva;Machado de Assis;Classic;1864;pportal
1927;Caso da Vara;Machado de Assis;Short-Story;1891;pportal
1836;Cinco Minutos;José de Alencar;Classic;1856;pportal
17379;Cinco Mulheres;Machado de Assis;Classic;1865;pportal
2019;Cinco minutos;José de Alencar;Classic;1856;pportal
1780;Coisas que Só Eu Sei;Camilo Castelo Branco;Fiction;1853;pportal
1837;Como e por que sou Romancista;José de Alencar;Fiction;1893;pportal
1883;Confissões de uma Viúva;Machado de Assis;Short-Story;1865;pportal
16927;Confissões de uma Viúva Moça;Machado de Assis;Short-Story;1865;pportal
1909;Conto Alexandrino;Machado de Assis;Classic;1883;pportal
16928;Conto de Escola;Machado de Assis;Short-Story;1884;pportal
1878;Contos Fluminenses;Machado de Assis;Fiction;1870;pportal
16566;Contos Fora da Moda;Artur Azevedo;Classic;1894;pportal
1757;Contos Fora de Moda;Artur Azevedo;Classic;1894;pportal
2061;Contos para Velhos;Olavo Bilac;Fiction;1897;pportal
17382;Conversão de um avaro;Machado de Assis;Fiction;1878;pportal
1781;Coração, Cabeça e Estômago;Camilo Castelo Branco;Classic;1862;pportal
43338;Céus e terras do Brasil;Visconde de Taunay;Romance;1875;pportal
1943;D. Benedita;Machado de Assis;Fiction;1882;pportal
17387;D. Mônica;Machado de Assis;Classic;1876;pportal
81914;De Jerssey a Granville;Alexandre Herculano;Classic;1843;pportal
17388;Decadência de dois grandes homens;Machado de Assis;Fiction;1873;pportal
